id,original_path,file_name,extension,size_mb,source_folder,detected_module,detected_document_type,proposed_menu,proposed_folder,proposed_title,proposed_code,canonical_use,training_use,quiz_use,certificate_use,priority,training_queue,impacted_roles,suggested_recurrence,status,action_recommended,needs_human_review,notes
0049,Google Drive/POPs+MBP_Drogarias/POP.040 Intercambialidade de Medicamentos,POP.040 Intercambialidade de Medicamentos,,,POPs+MBP_Drogarias,RQ's e MBP,Pasta/POP,Drogarias,Manual de Boas Praticas,POP,POP-040-INTERCAMBIALIDADE-DE-MEDICAMENTOS,SIM,PLANEJADO,REVISAR,NAO,P0,NORMAL,ADMIN;RT,,INVENTARIADO,REVISAR,SIM,Item e pasta/colecao no Drive; listar arquivos internos antes de importar
0050,Google Drive/POPs+MBP_Drogarias/POP.041 Avaliação da Prescrição - Prevenção de Erros,POP.041 Avaliação da Prescrição - Prevenção de Erros,,,POPs+MBP_Drogarias,RQ's e MBP,Pasta/POP,Drogarias,Manual de Boas Praticas,POP,POP-041-AVALIACAO-DA-PRESCRICAO-PREVENCAO-DE-ERR,SIM,PLANEJADO,REVISAR,NAO,P0,NORMAL,ADMIN;RT,,INVENTARIADO,REVISAR,SIM,Item e pasta/colecao no Drive; listar arquivos internos antes de importar
0051,Google Drive/POPs+MBP_Drogarias/POP.042 Entrega em Domicílio,POP.042 Entrega em Domicílio,,,POPs+MBP_Drogarias,RQ's e MBP,Pasta/POP,Drogarias,Manual de Boas Praticas,POP,POP-042-ENTREGA-EM-DOMICILIO,SIM,PLANEJADO,REVISAR,NAO,P0,NORMAL,ADMIN;RT,,INVENTARIADO,REVISAR,SIM,Item e pasta/colecao no Drive; listar arquivos internos antes de importar
0052,Google Drive/POPs+MBP_Drogarias/POP.044 Mercadorias Avariadas ou Vencidas,POP.044 Mercadorias Avariadas ou Vencidas,,,POPs+MBP_Drogarias,RQ's e MBP,Pasta/POP,Drogarias,"10. Nao Conformidades, Reclamacoes e Recolhimento",POP,POP-044-MERCADORIAS-AVARIADAS-OU-VENCIDAS,SIM,PLANEJADO,REVISAR,NAO,P0,NORMAL,ADMIN;RT,,INVENTARIADO,REVISAR,SIM,Item e pasta/colecao no Drive; listar arquivos internos antes de importar
0053,Google Drive/POPs+MBP_Drogarias/POP.045 Medicamentos Falsificados,POP.045 Medicamentos Falsificados,,,POPs+MBP_Drogarias,RQ's e MBP,Pasta/POP,Drogarias,"10. Nao Conformidades, Reclamacoes e Recolhimento",POP,POP-045-MEDICAMENTOS-FALSIFICADOS,SIM,PLANEJADO,REVISAR,NAO,P0,NORMAL,ADMIN;RT,,INVENTARIADO,REVISAR,SIM,Item e pasta/colecao no Drive; listar arquivos internos antes de importar
0054,Google Drive/POPs+MBP_Drogarias/POP.046 Devolução de Produtos ao Fornecedor,POP.046 Devolução de Produtos ao Fornecedor,,,POPs+MBP_Drogarias,RQ's e MBP,Pasta/POP,Drogarias,05. Materias-primas e Fornecedores,POP,POP-046-DEVOLUCAO-DE-PRODUTOS-AO-FORNECEDOR,SIM,PLANEJADO,REVISAR,NAO,P0,NORMAL,ADMIN;RT,,INVENTARIADO,REVISAR,SIM,Item e pasta/colecao no Drive; listar arquivos internos antes de importar
0055,Google Drive/POPs+MBP_Drogarias/POP.047 Devolução de Produtos dos Clientes,POP.047 Devolução de Produtos dos Clientes,,,POPs+MBP_Drogarias,RQ's e MBP,Pasta/POP,Drogarias,Manual de Boas Praticas,POP,POP-047-DEVOLUCAO-DE-PRODUTOS-DOS-CLIENTES,SIM,PLANEJADO,REVISAR,NAO,P0,NORMAL,ADMIN;RT,,INVENTARIADO,REVISAR,SIM,Item e pasta/colecao no Drive; listar arquivos internos antes de importar
0056,Google Drive/POPs+MBP_Drogarias/POP.048 Aplicação de Injetáveis - Agulhas e Seringas,POP.048 Aplicação de Injetáveis - Agulhas e Seringas,,,POPs+MBP_Drogarias,RQ's e MBP,Pasta/POP,Drogarias,06. Servicos Farmaceuticos,POP,POP-048-APLICACAO-DE-INJETAVEIS-AGULHAS-E-SERING,SIM,PLANEJADO,REVISAR,NAO,P0,NORMAL,ADMIN;RT,,INVENTARIADO,REVISAR,SIM,Item e pasta/colecao no Drive; listar arquivos internos antes de importar
0057,Google Drive/POPs+MBP_Drogarias/POP.049 Aplicação de Injetáveis - Preparação,POP.049 Aplicação de Injetáveis - Preparação,,,POPs+MBP_Drogarias,RQ's e MBP,Pasta/POP,Drogarias,06. Servicos Farmaceuticos,POP,POP-049-APLICACAO-DE-INJETAVEIS-PREPARACAO,SIM,PLANEJADO,REVISAR,NAO,P0,NORMAL,ADMIN;RT,,INVENTARIADO,REVISAR,SIM,Item e pasta/colecao no Drive; listar arquivos internos antes de importar
0058,Google Drive/POPs+MBP_Drogarias/POP.050 Aplicação de Injetáveis - Vias de Administração,POP.050 Aplicação de Injetáveis - Vias de Administração,,,POPs+MBP_Drogarias,RQ's e MBP,Pasta/POP,Drogarias,06. Servicos Farmaceuticos,POP,POP-050-APLICACAO-DE-INJETAVEIS-VIAS-DE-ADMINIST,SIM,PLANEJADO,REVISAR,NAO,P0,NORMAL,ADMIN;RT,,INVENTARIADO,REVISAR,SIM,Item e pasta/colecao no Drive; listar arquivos internos antes de importar
0059,Google Drive/POPs+MBP_Drogarias/POP.051 Monitoramento da Glicemia Capilar,POP.051 Monitoramento da Glicemia Capilar,,,POPs+MBP_Drogarias,RQ's e MBP,Pasta/POP,Drogarias,Manual de Boas Praticas,POP,POP-051-MONITORAMENTO-DA-GLICEMIA-CAPILAR,SIM,PLANEJADO,REVISAR,NAO,P0,NORMAL,ADMIN;RT,,INVENTARIADO,REVISAR,SIM,Item e pasta/colecao no Drive; listar arquivos internos antes de importar
0060,Google Drive/POPs+MBP_Drogarias/POP.052 Monitoramento da Pressão Arterial,POP.052 Monitoramento da Pressão Arterial,,,POPs+MBP_Drogarias,RQ's e MBP,Pasta/POP,Drogarias,Manual de Boas Praticas,POP,POP-052-MONITORAMENTO-DA-PRESSAO-ARTERIAL,SIM,PLANEJADO,REVISAR,NAO,P0,NORMAL,ADMIN;RT,,INVENTARIADO,REVISAR,SIM,Item e pasta/colecao no Drive; listar arquivos internos antes de importar
0061,Google Drive/POPs+MBP_Drogarias/POP.053 Aferição da Temperatura Corporal,POP.053 Aferição da Temperatura Corporal,,,POPs+MBP_Drogarias,RQ's e MBP,Pasta/POP,Drogarias,Manual de Boas Praticas,POP,POP-053-AFERICAO-DA-TEMPERATURA-CORPORAL,SIM,PLANEJADO,REVISAR,NAO,P0,NORMAL,ADMIN;RT,,INVENTARIADO,REVISAR,SIM,Item e pasta/colecao no Drive; listar arquivos internos antes de importar
0062,Google Drive/POPs+MBP_Drogarias/POP.054 Inaloterapia,POP.054 Inaloterapia,,,POPs+MBP_Drogarias,RQ's e MBP,Pasta/POP,Drogarias,Manual de Boas Praticas,POP,POP-054-INALOTERAPIA,SIM,PLANEJADO,REVISAR,NAO,P0,NORMAL,ADMIN;RT,,INVENTARIADO,REVISAR,SIM,Item e pasta/colecao no Drive; listar arquivos internos antes de importar
0063,Google Drive/POPs+MBP_Drogarias/POP.055 Perfuração de Lóbulo Auricular para Brincos,POP.055 Perfuração de Lóbulo Auricular para Brincos,,,POPs+MBP_Drogarias,RQ's e MBP,Pasta/POP,Drogarias,Manual de Boas Praticas,POP,POP-055-PERFURACAO-DE-LOBULO-AURICULAR-PARA-BRIN,SIM,PLANEJADO,REVISAR,NAO,P0,NORMAL,ADMIN;RT,,INVENTARIADO,REVISAR,SIM,Item e pasta/colecao no Drive; listar arquivos internos antes de importar
0064,Google Drive/POPs+MBP_Drogarias/POP.056 Saturação de Oxigênio,POP.056 Saturação de Oxigênio,,,POPs+MBP_Drogarias,RQ's e MBP,Pasta/POP,Drogarias,Manual de Boas Praticas,POP,POP-056-SATURACAO-DE-OXIGENIO,SIM,PLANEJADO,REVISAR,NAO,P0,NORMAL,ADMIN;RT,,INVENTARIADO,REVISAR,SIM,Item e pasta/colecao no Drive; listar arquivos internos antes de importar
0065,Google Drive/POPs+MBP_Drogarias/POP.057 Vacinação,POP.057 Vacinação,,,POPs+MBP_Drogarias,RQ's e MBP,Pasta/POP,Drogarias,06. Servicos Farmaceuticos,POP,POP-057-VACINACAO,SIM,PLANEJADO,REVISAR,NAO,P0,NORMAL,ADMIN;RT,,INVENTARIADO,REVISAR,SIM,Item e pasta/colecao no Drive; listar arquivos internos antes de importar
0066,Google Drive/POPs+MBP_Drogarias/POP.058 Acidentes com Perfurocortantes,POP.058 Acidentes com Perfurocortantes,,,POPs+MBP_Drogarias,RQ's e MBP,Pasta/POP,Drogarias,09. Residuos,POP,POP-058-ACIDENTES-COM-PERFUROCORTANTES,SIM,PLANEJADO,REVISAR,NAO,P0,NORMAL,ADMIN;RT,,INVENTARIADO,REVISAR,SIM,Item e pasta/colecao no Drive; listar arquivos internos antes de importar
0067,Google Drive/POPs+MBP_Drogarias/POP.059 Atenção Farmacêutica,POP.059 Atenção Farmacêutica,,,POPs+MBP_Drogarias,RQ's e MBP,Pasta/POP,Drogarias,06. Servicos Farmaceuticos,POP,POP-059-ATENCAO-FARMACEUTICA,SIM,PLANEJADO,REVISAR,NAO,P0,NORMAL,ADMIN;RT,,INVENTARIADO,REVISAR,SIM,Item e pasta/colecao no Drive; listar arquivos internos antes de importar
0068,Google Drive/POPs+MBP_Drogarias/POP.060 Consulta Farmacêutica,POP.060 Consulta Farmacêutica,,,POPs+MBP_Drogarias,RQ's e MBP,Pasta/POP,Drogarias,06. Servicos Farmaceuticos,POP,POP-060-CONSULTA-FARMACEUTICA,SIM,PLANEJADO,REVISAR,NAO,P0,NORMAL,ADMIN;RT,,INVENTARIADO,REVISAR,SIM,Item e pasta/colecao no Drive; listar arquivos internos antes de importar
0069,Google Drive/POPs+MBP_Drogarias/POP.061 Farmacovigilância,POP.061 Farmacovigilância,,,POPs+MBP_Drogarias,RQ's e MBP,Pasta/POP,Drogarias,Manual de Boas Praticas,POP,POP-061-FARMACOVIGILANCIA,SIM,PLANEJADO,REVISAR,NAO,P0,NORMAL,ADMIN;RT,,INVENTARIADO,REVISAR,SIM,Item e pasta/colecao no Drive; listar arquivos internos antes de importar
0070,Google Drive/POPs+MBP_Drogarias/POP.062 Prescrição Farmacêutica,POP.062 Prescrição Farmacêutica,,,POPs+MBP_Drogarias,RQ's e MBP,Pasta/POP,Drogarias,06. Servicos Farmaceuticos,POP,POP-062-PRESCRICAO-FARMACEUTICA,SIM,PLANEJADO,REVISAR,NAO,P0,NORMAL,ADMIN;RT,,INVENTARIADO,REVISAR,SIM,Item e pasta/colecao no Drive; listar arquivos internos antes de importar
0071,Google Drive/POPs+MBP_Drogarias/POPs+MBP_Drogarias.zip,POPs+MBP_Drogarias.zip,zip,,POPs+MBP_Drogarias,RQ's e MBP,POP,Drogarias,Manual de Boas Praticas,POPs+MBP_Drogarias,POPS-MBP-DROGARIAS-ZIP,SIM,PLANEJADO,REVISAR,NAO,P0,NORMAL,ADMIN;RT,,INVENTARIADO,REVISAR,SIM,ZIP deve ser extraido/listado antes da importacao
0072,Drive complementar/MBP Farmacia Manipulacao/farmacopeia-6-edicao,farmacopeia-6-edicao,,,Drive complementar/MBP Farmacia Manipulacao,Farmacia de Manipulacao,Referencia tecnica,Biblioteca POPs,07. Controle de Qualidade,farmacopeia-6-edicao,FARMACOPEIA-6-EDICAO,SIM,NAO,NAO,NAO,P0,NAO_APLICA,ADMIN;RT,,INVENTARIADO,IMPORTAR_COMO_REFERENCIA,SIM,Lote complementar informado pelo usuario; revisar antes de importar
0073,Drive complementar/MBP Farmacia Manipulacao/MANUAL 3 - Controle de Qualidade,MANUAL 3 - Controle de Qualidade,,,Drive complementar/MBP Farmacia Manipulacao,Farmacia de Manipulacao,Pasta/Colecao,Biblioteca POPs,07. Controle de Qualidade,MANUAL 3 - Controle de Qualidade,MANUAL-3-CONTROLE-DE-QUALIDADE,REVISAR,NAO,NAO,NAO,P1,NAO_APLICA,ADMIN;RT,,INVENTARIADO,REVISAR,SIM,Lote complementar informado pelo usuario; revisar antes de importar
0074,Drive complementar/MBP Farmacia Manipulacao/MANUAL 2 - Atendimento e Dispensação,MANUAL 2 - Atendimento e Dispensação,,,Drive complementar/MBP Farmacia Manipulacao,Drogarias,Pasta/Colecao,Drogarias,01. Dispensacao,MANUAL 2 - Atendimento e Dispensação,MANUAL-2-ATENDIMENTO-E-DISPENSACAO,REVISAR,NAO,NAO,NAO,P1,NAO_APLICA,ADMIN;RT,,INVENTARIADO,REVISAR,SIM,Lote complementar informado pelo usuario; revisar antes de importar
0075,Drive complementar/MBP Farmacia Manipulacao/MANUAL 4 - Manipulação Preparação Magistrais,MANUAL 4 - Manipulação Preparação Magistrais,,,Drive complementar/MBP Farmacia Manipulacao,Farmacia de Manipulacao,Pasta/Colecao,Biblioteca POPs,06. Manipulacao,MANUAL 4 - Manipulação Preparação Magistrais,MANUAL-4-MANIPULACAO-PREPARACAO-MAGISTRAIS,REVISAR,NAO,NAO,NAO,P1,NAO_APLICA,ADMIN;RT,,INVENTARIADO,REVISAR,SIM,Lote complementar informado pelo usuario; revisar antes de importar
0076,Drive complementar/MBP Farmacia Manipulacao/MBP Farmácia de Manipulação-Completo,MBP Farmácia de Manipulação-Completo,,,Drive complementar/MBP Farmacia Manipulacao,Farmacia de Manipulacao,Pasta/Colecao,RQ's e MBP,06. Manipulacao,MBP Farmácia de Manipulação-Completo,MBP-FARMACIA-DE-MANIPULACAO-COMPLETO,REVISAR,NAO,NAO,NAO,P1,NAO_APLICA,ADMIN;RT,,INVENTARIADO,REVISAR,SIM,Lote complementar informado pelo usuario; revisar antes de importar
0077,Drive complementar/MBP Farmacia Manipulacao/Capa Introdução e Lista Mestra,Capa Introdução e Lista Mestra,,,Drive complementar/MBP Farmacia Manipulacao,Farmacia de Manipulacao,Pasta/Colecao,Biblioteca POPs,01. Gestao da Qualidade,Capa Introdução e Lista Mestra,CAPA-INTRODUCAO-E-LISTA-MESTRA,REVISAR,NAO,NAO,NAO,P1,NAO_APLICA,ADMIN;RT,,INVENTARIADO,REVISAR,SIM,Lote complementar informado pelo usuario; revisar antes de importar
0078,Drive complementar/MBP Farmacia Manipulacao/MANUAL 1 - Aspectos Organizacionais,MANUAL 1 - Aspectos Organizacionais,,,Drive complementar/MBP Farmacia Manipulacao,Farmacia de Manipulacao,Pasta/Colecao,Biblioteca POPs,01. Gestao da Qualidade,MANUAL 1 - Aspectos Organizacionais,MANUAL-1-ASPECTOS-ORGANIZACIONAIS,REVISAR,NAO,NAO,NAO,P1,NAO_APLICA,ADMIN;RT,,INVENTARIADO,REVISAR,SIM,Lote complementar informado pelo usuario; revisar antes de importar
0079,Drive complementar/MBP Farmacia Manipulacao/POP.090.1 Determinação do Peso Médio de Caps,POP.090.1 Determinação do Peso Médio de Caps,,,Drive complementar/MBP Farmacia Manipulacao,Farmacia de Manipulacao,Pasta/POP,Biblioteca POPs,07. Controle de Qualidade,POP.090,POP-090-1-DETERMINACAO-DO-PESO-MEDIO-DE-CAPS,SIM,PLANEJADO,REVISAR,NAO,P0,NORMAL,ADMIN;RT,,INVENTARIADO,REVISAR,SIM,Lote complementar informado pelo usuario; revisar antes de importar
0080,Drive complementar/MBP Farmacia Manipulacao/Capa Introdução e Lista Mestra 4.docx,Capa Introdução e Lista Mestra 4.docx,docx,,Drive complementar/MBP Farmacia Manipulacao,Farmacia de Manipulacao,Colecao,Biblioteca POPs,01. Gestao da Qualidade,Capa Introdução e Lista Mestra 4,CAPA-INTRODUCAO-E-LISTA-MESTRA-4-DOCX,REVISAR,NAO,NAO,NAO,P1,NAO_APLICA,ADMIN;RT,,INVENTARIADO,REVISAR,SIM,Lote complementar informado pelo usuario; revisar antes de importar
0081,Drive complementar/MBP Farmacia Manipulacao/Capa Introdução e Lista Mestra 3.docx,Capa Introdução e Lista Mestra 3.docx,docx,,Drive complementar/MBP Farmacia Manipulacao,Farmacia de Manipulacao,Colecao,Biblioteca POPs,01. Gestao da Qualidade,Capa Introdução e Lista Mestra 3,CAPA-INTRODUCAO-E-LISTA-MESTRA-3-DOCX,REVISAR,NAO,NAO,NAO,P1,NAO_APLICA,ADMIN;RT,,INVENTARIADO,REVISAR,SIM,Lote complementar informado pelo usuario; revisar antes de importar
0082,Drive complementar/MBP Farmacia Manipulacao/Capa Introdução e Lista Mestra 2.docx,Capa Introdução e Lista Mestra 2.docx,docx,,Drive complementar/MBP Farmacia Manipulacao,Farmacia de Manipulacao,Colecao,Biblioteca POPs,01. Gestao da Qualidade,Capa Introdução e Lista Mestra 2,CAPA-INTRODUCAO-E-LISTA-MESTRA-2-DOCX,REVISAR,NAO,NAO,NAO,P1,NAO_APLICA,ADMIN;RT,,INVENTARIADO,REVISAR,SIM,Lote complementar informado pelo usuario; revisar antes de importar
0083,Drive complementar/MBP Farmacia Manipulacao/Capa Introdução e Lista Mestra 1.docx,Capa Introdução e Lista Mestra 1.docx,docx,,Drive complementar/MBP Farmacia Manipulacao,Farmacia de Manipulacao,Colecao,Biblioteca POPs,01. Gestao da Qualidade,Capa Introdução e Lista Mestra 1,CAPA-INTRODUCAO-E-LISTA-MESTRA-1-DOCX,REVISAR,NAO,NAO,NAO,P1,NAO_APLICA,ADMIN;RT,,INVENTARIADO,REVISAR,SIM,Lote complementar informado pelo usuario; revisar antes de importar
0084,Drive complementar/POPs MBP Drogarias/1.Manual de Boas Prática de Dispensação em Drogarias,1.Manual de Boas Prática de Dispensação em Drogarias,,,Drive complementar/POPs MBP Drogarias,Drogarias,Pasta/Colecao,Drogarias,01. Dispensacao,1,1-MANUAL-DE-BOAS-PRATICA-DE-DISPENSACAO-EM-DROGARIAS,REVISAR,NAO,NAO,NAO,P1,NAO_APLICA,ADMIN;RT,,INVENTARIADO,REVISAR,SIM,Lote complementar informado pelo usuario; revisar antes de importar; possivel sobreposicao com item ja inventariado por nome/origem anterior
0085,Drive complementar/POPs MBP Drogarias/POP.005 Recrutamento e Admissão,POP.005 Recrutamento e Admissão,,,Drive complementar/POPs MBP Drogarias,Drogarias,Pasta/POP,Drogarias,01. Gestao da Qualidade,POP,POP-005-RECRUTAMENTO-E-ADMISSAO,SIM,PLANEJADO,REVISAR,NAO,P0,NORMAL,ADMIN;RT,,INVENTARIADO,REVISAR,SIM,Lote complementar informado pelo usuario; revisar antes de importar; possivel sobreposicao com item ja inventariado por nome/origem anterior
0086,Drive complementar/POPs MBP Drogarias/Capa Introdução e Lista Mestra,Capa Introdução e Lista Mestra,,,Drive complementar/POPs MBP Drogarias,Drogarias,Pasta/Colecao,Drogarias,01. Gestao da Qualidade,Capa Introdução e Lista Mestra,CAPA-INTRODUCAO-E-LISTA-MESTRA,REVISAR,NAO,NAO,NAO,P1,NAO_APLICA,ADMIN;RT,,INVENTARIADO,REVISAR,SIM,Lote complementar informado pelo usuario; revisar antes de importar
0087,Drive complementar/POPs MBP Drogarias/POP.001 Documentação Normativa,POP.001 Documentação Normativa,,,Drive complementar/POPs MBP Drogarias,Drogarias,Pasta/POP,Drogarias,01. Gestao da Qualidade,POP,POP-001-DOCUMENTACAO-NORMATIVA,SIM,PLANEJADO,REVISAR,NAO,P0,NORMAL,ADMIN;RT,,INVENTARIADO,REVISAR,SIM,Lote complementar informado pelo usuario; revisar antes de importar; possivel sobreposicao com item ja inventariado por nome/origem anterior
0088,Drive complementar/POPs MBP Drogarias/POP.003 Organograma,POP.003 Organograma,,,Drive complementar/POPs MBP Drogarias,Drogarias,Pasta/POP,Drogarias,01. Gestao da Qualidade,POP,POP-003-ORGANOGRAMA,SIM,PLANEJADO,REVISAR,NAO,P0,NORMAL,ADMIN;RT,,INVENTARIADO,REVISAR,SIM,Lote complementar informado pelo usuario; revisar antes de importar; possivel sobreposicao com item ja inventariado por nome/origem anterior
0089,"Drive complementar/POPs MBP Drogarias/POP.006 PCMSO, Relatório Analítico e Exames Médicos","POP.006 PCMSO, Relatório Analítico e Exames Médicos",,,Drive complementar/POPs MBP Drogarias,Drogarias,Pasta/POP,Drogarias,01. Gestao da Qualidade,POP,POP-006-PCMSO-RELATORIO-ANALITICO-E-EXAMES-MEDICOS,SIM,PLANEJADO,REVISAR,NAO,P0,NORMAL,ADMIN;RT,,INVENTARIADO,REVISAR,SIM,Lote complementar informado pelo usuario; revisar antes de importar; possivel sobreposicao com item ja inventariado por nome/origem anterior
0090,Drive complementar/POPs MBP Drogarias/POP.002 Elab. Implementação de POPs,POP.002 Elab. Implementação de POPs,,,Drive complementar/POPs MBP Drogarias,Drogarias,Pasta/POP,Drogarias,01. Gestao da Qualidade,POP.002 Elab,POP-002-ELAB-IMPLEMENTACAO-DE-POPS,SIM,PLANEJADO,REVISAR,NAO,P0,NORMAL,ADMIN;RT,,INVENTARIADO,REVISAR,SIM,Lote complementar informado pelo usuario; revisar antes de importar; possivel sobreposicao com item ja inventariado por nome/origem anterior
0091,Drive complementar/POPs MBP Drogarias/POP.004 Organização e Pessoal,POP.004 Organização e Pessoal,,,Drive complementar/POPs MBP Drogarias,Drogarias,Pasta/POP,Drogarias,01. Gestao da Qualidade,POP,POP-004-ORGANIZACAO-E-PESSOAL,SIM,PLANEJADO,REVISAR,NAO,P0,NORMAL,ADMIN;RT,,INVENTARIADO,REVISAR,SIM,Lote complementar informado pelo usuario; revisar antes de importar; possivel sobreposicao com item ja inventariado por nome/origem anterior
0092,Drive complementar/POPs MBP Drogarias/POP.009 Atribuições da Gerência,POP.009 Atribuições da Gerência,,,Drive complementar/POPs MBP Drogarias,Drogarias,Pasta/POP,Drogarias,01. Gestao da Qualidade,POP,POP-009-ATRIBUICOES-DA-GERENCIA,SIM,PLANEJADO,REVISAR,NAO,P0,NORMAL,ADMIN;RT,,INVENTARIADO,REVISAR,SIM,Lote complementar informado pelo usuario; revisar antes de importar; possivel sobreposicao com item ja inventariado por nome/origem anterior
0093,Drive complementar/POPs MBP Drogarias/POP.010 Atribuições dos Balconistas,POP.010 Atribuições dos Balconistas,,,Drive complementar/POPs MBP Drogarias,Drogarias,Pasta/POP,Drogarias,01. Gestao da Qualidade,POP,POP-010-ATRIBUICOES-DOS-BALCONISTAS,SIM,PLANEJADO,REVISAR,NAO,P0,NORMAL,ADMIN;RT,,INVENTARIADO,REVISAR,SIM,Lote complementar informado pelo usuario; revisar antes de importar; possivel sobreposicao com item ja inventariado por nome/origem anterior
