batch_id,batch_name,import_order,source_collection,original_path,file_name,extension,size_mb,detected_document_type,proposed_menu,proposed_folder,proposed_title,proposed_code,canonical_use,training_use,quiz_use,certificate_use,impacted_roles,suggested_recurrence,priority,action_recommended,needs_human_review,duplicate_risk,duplicate_group,import_decision,import_notes
1,Lote 1 - Acervo Matriz Farmacia de Manipulacao,0001,Drive complementar/MBP Farmacia Manipulacao,Drive complementar/MBP Farmacia Manipulacao/Capa Introdução e Lista Mestra 1.docx,Capa Introdução e Lista Mestra 1.docx,docx,,Colecao,Biblioteca POPs,01. Gestao da Qualidade,Capa Introdução e Lista Mestra 1,CAPA-INTRODUCAO-E-LISTA-MESTRA-1-DOCX,REVISAR,NAO,NAO,NAO,ADMIN;RT,,P1,REVISAR,SIM,BAIXO,,IMPORTAR_AGORA,Acervo aprovado como autoria propria; revisar redundancia/versao/classificacao. Classificacao clara; candidato a importacao controlada conforme lote.
1,Lote 1 - Acervo Matriz Farmacia de Manipulacao,0002,Drive complementar/MBP Farmacia Manipulacao,Drive complementar/MBP Farmacia Manipulacao/Capa Introdução e Lista Mestra 2.docx,Capa Introdução e Lista Mestra 2.docx,docx,,Colecao,Biblioteca POPs,01. Gestao da Qualidade,Capa Introdução e Lista Mestra 2,CAPA-INTRODUCAO-E-LISTA-MESTRA-2-DOCX,REVISAR,NAO,NAO,NAO,ADMIN;RT,,P1,REVISAR,SIM,BAIXO,,IMPORTAR_AGORA,Acervo aprovado como autoria propria; revisar redundancia/versao/classificacao. Classificacao clara; candidato a importacao controlada conforme lote.
1,Lote 1 - Acervo Matriz Farmacia de Manipulacao,0003,Drive complementar/MBP Farmacia Manipulacao,Drive complementar/MBP Farmacia Manipulacao/Capa Introdução e Lista Mestra 3.docx,Capa Introdução e Lista Mestra 3.docx,docx,,Colecao,Biblioteca POPs,01. Gestao da Qualidade,Capa Introdução e Lista Mestra 3,CAPA-INTRODUCAO-E-LISTA-MESTRA-3-DOCX,REVISAR,NAO,NAO,NAO,ADMIN;RT,,P1,REVISAR,SIM,BAIXO,,IMPORTAR_AGORA,Acervo aprovado como autoria propria; revisar redundancia/versao/classificacao. Classificacao clara; candidato a importacao controlada conforme lote.
1,Lote 1 - Acervo Matriz Farmacia de Manipulacao,0004,Drive complementar/MBP Farmacia Manipulacao,Drive complementar/MBP Farmacia Manipulacao/Capa Introdução e Lista Mestra 4.docx,Capa Introdução e Lista Mestra 4.docx,docx,,Colecao,Biblioteca POPs,01. Gestao da Qualidade,Capa Introdução e Lista Mestra 4,CAPA-INTRODUCAO-E-LISTA-MESTRA-4-DOCX,REVISAR,NAO,NAO,NAO,ADMIN;RT,,P1,REVISAR,SIM,BAIXO,,IMPORTAR_AGORA,Acervo aprovado como autoria propria; revisar redundancia/versao/classificacao. Classificacao clara; candidato a importacao controlada conforme lote.
1,Lote 1 - Acervo Matriz Farmacia de Manipulacao,0005,Drive complementar/MBP Farmacia Manipulacao,Drive complementar/MBP Farmacia Manipulacao/farmacopeia-6-edicao,farmacopeia-6-edicao,,,Referencia tecnica,Biblioteca POPs,07. Controle de Qualidade,farmacopeia-6-edicao,FARMACOPEIA-6-EDICAO,SIM,NAO,NAO,NAO,ADMIN;RT,,P0,IMPORTAR_COMO_REFERENCIA,SIM,BAIXO,,IMPORTAR_AGORA,Acervo aprovado como autoria propria; revisar redundancia/versao/classificacao. Classificacao clara; candidato a importacao controlada conforme lote.
1,Lote 1 - Acervo Matriz Farmacia de Manipulacao,0006,Drive complementar/MBP Farmacia Manipulacao,Drive complementar/MBP Farmacia Manipulacao/MANUAL 1 - Aspectos Organizacionais,MANUAL 1 - Aspectos Organizacionais,,,Pasta/Colecao,Biblioteca POPs,01. Gestao da Qualidade,MANUAL 1 - Aspectos Organizacionais,MANUAL-1-ASPECTOS-ORGANIZACIONAIS,REVISAR,NAO,NAO,NAO,ADMIN;RT,,P1,REVISAR,SIM,MEDIO,,IMPORTAR_AGORA,Acervo aprovado como autoria propria; revisar redundancia/versao/classificacao. Item representa pasta/colecao; importar somente apos confirmar/expandir arquivos reais no momento da carga. Classificacao clara; candidato a importacao controlada conforme lote.
1,Lote 1 - Acervo Matriz Farmacia de Manipulacao,0007,Drive complementar/MBP Farmacia Manipulacao,Drive complementar/MBP Farmacia Manipulacao/MANUAL 3 - Controle de Qualidade,MANUAL 3 - Controle de Qualidade,,,Pasta/Colecao,Biblioteca POPs,07. Controle de Qualidade,MANUAL 3 - Controle de Qualidade,MANUAL-3-CONTROLE-DE-QUALIDADE,REVISAR,NAO,NAO,NAO,ADMIN;RT,,P1,REVISAR,SIM,MEDIO,,IMPORTAR_AGORA,Acervo aprovado como autoria propria; revisar redundancia/versao/classificacao. Item representa pasta/colecao; importar somente apos confirmar/expandir arquivos reais no momento da carga. Classificacao clara; candidato a importacao controlada conforme lote.
1,Lote 1 - Acervo Matriz Farmacia de Manipulacao,0008,Drive complementar/MBP Farmacia Manipulacao,Drive complementar/MBP Farmacia Manipulacao/MANUAL 4 - Manipulação Preparação Magistrais,MANUAL 4 - Manipulação Preparação Magistrais,,,Pasta/Colecao,Biblioteca POPs,06. Manipulacao,MANUAL 4 - Manipulação Preparação Magistrais,MANUAL-4-MANIPULACAO-PREPARACAO-MAGISTRAIS,REVISAR,NAO,NAO,NAO,ADMIN;RT,,P1,REVISAR,SIM,MEDIO,,IMPORTAR_AGORA,Acervo aprovado como autoria propria; revisar redundancia/versao/classificacao. Item representa pasta/colecao; importar somente apos confirmar/expandir arquivos reais no momento da carga. Classificacao clara; candidato a importacao controlada conforme lote.
1,Lote 1 - Acervo Matriz Farmacia de Manipulacao,0009,Drive complementar/MBP Farmacia Manipulacao,Drive complementar/MBP Farmacia Manipulacao/MBP Farmácia de Manipulação-Completo,MBP Farmácia de Manipulação-Completo,,,Pasta/Colecao,RQ's e MBP,06. Manipulacao,MBP Farmácia de Manipulação-Completo,MBP-FARMACIA-DE-MANIPULACAO-COMPLETO,REVISAR,NAO,NAO,NAO,ADMIN;RT,,P1,REVISAR,SIM,MEDIO,,IMPORTAR_AGORA,Acervo aprovado como autoria propria; revisar redundancia/versao/classificacao. Item representa pasta/colecao; importar somente apos confirmar/expandir arquivos reais no momento da carga. Classificacao clara; candidato a importacao controlada conforme lote.
1,Lote 1 - Acervo Matriz Farmacia de Manipulacao,0010,Drive complementar/MBP Farmacia Manipulacao,Drive complementar/MBP Farmacia Manipulacao/POP.090.1 Determinação do Peso Médio de Caps,POP.090.1 Determinação do Peso Médio de Caps,,,Pasta/POP,Biblioteca POPs,07. Controle de Qualidade,POP.090,POP-090-1-DETERMINACAO-DO-PESO-MEDIO-DE-CAPS,SIM,PLANEJADO,REVISAR,NAO,ADMIN;RT,,P0,REVISAR,SIM,MEDIO,,REVISAR_ANTES,Acervo aprovado como autoria propria; revisar redundancia/versao/classificacao. Item representa pasta/colecao; importar somente apos confirmar/expandir arquivos reais no momento da carga. Item parece POP operacional; mover para Lote 2 antes da importacao.
1,Lote 1 - Acervo Matriz Farmacia de Manipulacao,0011,Fonte 1 - Material atualizado/editavel,Google Drive/POPs+MBP_Antibióticos Citostáticos e Hormônios,POPs+MBP_Antibióticos Citostáticos e Hormônios,,,Pasta/POP,Biblioteca POPs,Manual de Boas Praticas,POPs+MBP_Antibióticos Citostáticos e Hormônios,POPS-MBP-ANTIBIOTICOS-CITOSTATICOS-E-HORMONIOS,SIM,PLANEJADO,REVISAR,NAO,ADMIN;RT,,P0,REVISAR,SIM,MEDIO,,IMPORTAR_AGORA,Acervo aprovado como autoria propria; revisar redundancia/versao/classificacao. Item representa pasta/colecao; importar somente apos confirmar/expandir arquivos reais no momento da carga. Classificacao clara; candidato a importacao controlada conforme lote.
1,Lote 1 - Acervo Matriz Farmacia de Manipulacao,0012,Fonte 1 - Material atualizado/editavel,Google Drive/POPs+MBP_Farmácia de Manipulação Veterinária Exclusiva,POPs+MBP_Farmácia de Manipulação Veterinária Exclusiva,,,Pasta/POP,Biblioteca POPs,06. Manipulacao,POPs+MBP_Farmácia de Manipulação Veterinária Exclusiva,POPS-MBP-FARMACIA-DE-MANIPULACAO-VETERINARIA-EXC,SIM,PLANEJADO,REVISAR,NAO,ADMIN;RT,,P0,REVISAR,SIM,MEDIO,,IMPORTAR_AGORA,Acervo aprovado como autoria propria; revisar redundancia/versao/classificacao. Item representa pasta/colecao; importar somente apos confirmar/expandir arquivos reais no momento da carga. Classificacao clara; candidato a importacao controlada conforme lote.
1,Lote 1 - Acervo Matriz Farmacia de Manipulacao,0013,Fonte 1 - Material atualizado/editavel,Google Drive/POPs+MBP_SBIT,POPs+MBP_SBIT,,,Pasta/POP,Biblioteca POPs,Manual de Boas Praticas,POPs+MBP_SBIT,POPS-MBP-SBIT,SIM,PLANEJADO,REVISAR,NAO,ADMIN;RT,,P0,REVISAR,SIM,MEDIO,,IMPORTAR_AGORA,Acervo aprovado como autoria propria; revisar redundancia/versao/classificacao. Item representa pasta/colecao; importar somente apos confirmar/expandir arquivos reais no momento da carga. Classificacao clara; candidato a importacao controlada conforme lote.
1,Lote 1 - Acervo Matriz Farmacia de Manipulacao,0014,Drive complementar/MBP Farmacia Manipulacao,Drive complementar/MBP Farmacia Manipulacao/Capa Introdução e Lista Mestra,Capa Introdução e Lista Mestra,,,Pasta/Colecao,Biblioteca POPs,01. Gestao da Qualidade,Capa Introdução e Lista Mestra,CAPA-INTRODUCAO-E-LISTA-MESTRA,REVISAR,NAO,NAO,NAO,ADMIN;RT,,P1,REVISAR,SIM,ALTO,DUP-050,REVISAR_ANTES,Acervo aprovado como autoria propria; revisar redundancia/versao/classificacao. Item representa pasta/colecao; importar somente apos confirmar/expandir arquivos reais no momento da carga. Duplicidade/sobreposicao clara; escolher versao mais atual.
2,Lote 2 - POPs Farmacia de Manipulacao,0015,root,Google Drive/Manual para Solicitação de AE,Manual para Solicitação de AE,,,Pasta/Colecao,Biblioteca POPs,01. Gestao da Qualidade,Manual para Solicitação de AE,MANUAL-PARA-SOLICITACAO-DE-AE,REVISAR,NAO,NAO,NAO,ADMIN;RT,,P1,REVISAR,SIM,MEDIO,,IMPORTAR_AGORA,Acervo aprovado como autoria propria; revisar redundancia/versao/classificacao. Item representa pasta/colecao; importar somente apos confirmar/expandir arquivos reais no momento da carga. Classificacao clara; candidato a importacao controlada conforme lote.
2,Lote 2 - POPs Farmacia de Manipulacao,0016,root,Google Drive/Manual para Solicitação de AFE,Manual para Solicitação de AFE,,,Pasta/Colecao,Biblioteca POPs,01. Gestao da Qualidade,Manual para Solicitação de AFE,MANUAL-PARA-SOLICITACAO-DE-AFE,REVISAR,NAO,NAO,NAO,ADMIN;RT,,P1,REVISAR,SIM,MEDIO,,IMPORTAR_AGORA,Acervo aprovado como autoria propria; revisar redundancia/versao/classificacao. Item representa pasta/colecao; importar somente apos confirmar/expandir arquivos reais no momento da carga. Classificacao clara; candidato a importacao controlada conforme lote.
2,Lote 2 - POPs Farmacia de Manipulacao,0017,root,Google Drive/POP Polícia Civil [2025],POP Polícia Civil [2025],,,Pasta/POP,Biblioteca POPs,01. Gestao da Qualidade,POP Polícia Civil [2025],POP-POLICIA-CIVIL-2025,SIM,PLANEJADO,REVISAR,NAO,ADMIN;RT,,P0,REVISAR,SIM,MEDIO,,IMPORTAR_AGORA,Acervo aprovado como autoria propria; revisar redundancia/versao/classificacao. Item representa pasta/colecao; importar somente apos confirmar/expandir arquivos reais no momento da carga. Classificacao clara; candidato a importacao controlada conforme lote.
2,Lote 2 - POPs Farmacia de Manipulacao,0018,root,Google Drive/POP_Roteiro de Autoinspeção para Farmácia de Manipulação,POP_Roteiro de Autoinspeção para Farmácia de Manipulação,,,Pasta/POP,Biblioteca POPs,06. Manipulacao,POP_Roteiro de Autoinspeção para Farmácia de Manipulação,POP-ROTEIRO-DE-AUTOINSPECAO-PARA-FARMACIA-DE-MAN,SIM,PLANEJADO,REVISAR,NAO,ADMIN;RT,,P0,REVISAR,SIM,MEDIO,,IMPORTAR_AGORA,Acervo aprovado como autoria propria; revisar redundancia/versao/classificacao. Item representa pasta/colecao; importar somente apos confirmar/expandir arquivos reais no momento da carga. Classificacao clara; candidato a importacao controlada conforme lote.
2,Lote 2 - POPs Farmacia de Manipulacao,0019,root,Google Drive/POP_Roteiro de Qualificação de Fornecedores - Farmácia de Manipulação,POP_Roteiro de Qualificação de Fornecedores - Farmácia de Manipulação,,,Pasta/POP,Biblioteca POPs,05. Materias-primas e Fornecedores,POP_Roteiro de Qualificação de Fornecedores - Farmácia de Manipulação,POP-ROTEIRO-DE-QUALIFICACAO-DE-FORNECEDORES-FARM,SIM,PLANEJADO,REVISAR,NAO,ADMIN;RT,,P0,REVISAR,SIM,MEDIO,,IMPORTAR_AGORA,Acervo aprovado como autoria propria; revisar redundancia/versao/classificacao. Item representa pasta/colecao; importar somente apos confirmar/expandir arquivos reais no momento da carga. Classificacao clara; candidato a importacao controlada conforme lote.
2,Lote 2 - POPs Farmacia de Manipulacao,0020,root,Google Drive/POPs_Manipulação Magistral Homeopática,POPs_Manipulação Magistral Homeopática,,,Pasta/POP,Biblioteca POPs,06. Manipulacao,POPs_Manipulação Magistral Homeopática,POPS-MANIPULACAO-MAGISTRAL-HOMEOPATICA,SIM,PLANEJADO,REVISAR,NAO,ADMIN;RT,,P0,REVISAR,SIM,MEDIO,,IMPORTAR_AGORA,Acervo aprovado como autoria propria; revisar redundancia/versao/classificacao. Item representa pasta/colecao; importar somente apos confirmar/expandir arquivos reais no momento da carga. Classificacao clara; candidato a importacao controlada conforme lote.
2,Lote 2 - POPs Farmacia de Manipulacao,0021,root,Google Drive/POPs_Manipulação Veterinária - Complementar MAPA-ANVISA,POPs_Manipulação Veterinária - Complementar MAPA-ANVISA,,,Pasta/POP,Biblioteca POPs,06. Manipulacao,POPs_Manipulação Veterinária - Complementar MAPA-ANVISA,POPS-MANIPULACAO-VETERINARIA-COMPLEMENTAR-MAPA-A,SIM,PLANEJADO,REVISAR,NAO,ADMIN;RT,,P0,REVISAR,SIM,MEDIO,,IMPORTAR_AGORA,Acervo aprovado como autoria propria; revisar redundancia/versao/classificacao. Item representa pasta/colecao; importar somente apos confirmar/expandir arquivos reais no momento da carga. Classificacao clara; candidato a importacao controlada conforme lote.
3,Lote 3 - RQs Farmacia de Manipulacao,0022,root,Google Drive/Manual para Solicitação de Registro no MAPA,Manual para Solicitação de Registro no MAPA,,,Registro da Qualidade,RQ's e MBP,Registros da Qualidade/Formularios,Manual para Solicitação de Registro no MAPA,MANUAL-PARA-SOLICITACAO-DE-REGISTRO-NO-MAPA,REVISAR,NAO,NAO,NAO,ADMIN;RT,,P1,IMPORTAR_COMO_RQ,SIM,BAIXO,,IMPORTAR_AGORA,Acervo aprovado como autoria propria; revisar redundancia/versao/classificacao. Classificacao clara; candidato a importacao controlada conforme lote.
4,Lote 4 - Drogarias,0023,Fonte 2 - POP Revisado e Ampliado 2022,Google Drive/POPs+MBP_Drogarias/1.Manual de Boas Prática de Dispensação em Drogarias,1.Manual de Boas Prática de Dispensação em Drogarias,,,Pasta/POP,Drogarias,01. Dispensacao,1,1-MANUAL-DE-BOAS-PRATICA-DE-DISPENSACAO-EM-DROGA,SIM,PLANEJADO,REVISAR,NAO,ADMIN;RT,,P0,REVISAR,SIM,ALTO,DUP-004,REVISAR_ANTES,Acervo aprovado como autoria propria; revisar redundancia/versao/classificacao. Item representa pasta/colecao; importar somente apos confirmar/expandir arquivos reais no momento da carga. Duplicidade/sobreposicao clara; escolher versao mais atual.
4,Lote 4 - Drogarias,0024,Drive complementar/POPs MBP Drogarias,Drive complementar/POPs MBP Drogarias/1.Manual de Boas Prática de Dispensação em Drogarias,1.Manual de Boas Prática de Dispensação em Drogarias,,,Pasta/Colecao,Drogarias,01. Dispensacao,1,1-MANUAL-DE-BOAS-PRATICA-DE-DISPENSACAO-EM-DROGARIAS,REVISAR,NAO,NAO,NAO,ADMIN;RT,,P1,REVISAR,SIM,ALTO,DUP-004,REVISAR_ANTES,Acervo aprovado como autoria propria; revisar redundancia/versao/classificacao. Item representa pasta/colecao; importar somente apos confirmar/expandir arquivos reais no momento da carga. Duplicidade/sobreposicao clara; escolher versao mais atual.
4,Lote 4 - Drogarias,0025,Drive complementar/POPs MBP Drogarias,Drive complementar/POPs MBP Drogarias/Capa Introdução e Lista Mestra,Capa Introdução e Lista Mestra,,,Pasta/Colecao,Drogarias,01. Gestao da Qualidade,Capa Introdução e Lista Mestra,CAPA-INTRODUCAO-E-LISTA-MESTRA,REVISAR,NAO,NAO,NAO,ADMIN;RT,,P1,REVISAR,SIM,ALTO,DUP-050,REVISAR_ANTES,Acervo aprovado como autoria propria; revisar redundancia/versao/classificacao. Item representa pasta/colecao; importar somente apos confirmar/expandir arquivos reais no momento da carga. Duplicidade/sobreposicao clara; escolher versao mais atual.
4,Lote 4 - Drogarias,0026,Drive complementar/MBP Farmacia Manipulacao,Drive complementar/MBP Farmacia Manipulacao/MANUAL 2 - Atendimento e Dispensação,MANUAL 2 - Atendimento e Dispensação,,,Pasta/Colecao,Drogarias,01. Dispensacao,MANUAL 2 - Atendimento e Dispensação,MANUAL-2-ATENDIMENTO-E-DISPENSACAO,REVISAR,NAO,NAO,NAO,ADMIN;RT,,P1,REVISAR,SIM,MEDIO,,IMPORTAR_AGORA,Acervo aprovado como autoria propria; revisar redundancia/versao/classificacao. Item representa pasta/colecao; importar somente apos confirmar/expandir arquivos reais no momento da carga. Classificacao clara; candidato a importacao controlada conforme lote.
4,Lote 4 - Drogarias,0027,Fonte 2 - POP Revisado e Ampliado 2022,Google Drive/PGRSS_Farmácia de Manipulação e Drogarias,PGRSS_Farmácia de Manipulação e Drogarias,,,Pasta/Colecao,Drogarias,06. Manipulacao,PGRSS_Farmácia de Manipulação e Drogarias,PGRSS-FARMACIA-DE-MANIPULACAO-E-DROGARIAS,REVISAR,NAO,NAO,NAO,ADMIN;RT,,P1,REVISAR,SIM,MEDIO,,IMPORTAR_AGORA,Acervo aprovado como autoria propria; revisar redundancia/versao/classificacao. Item representa pasta/colecao; importar somente apos confirmar/expandir arquivos reais no momento da carga. Classificacao clara; candidato a importacao controlada conforme lote.
4,Lote 4 - Drogarias,0028,Fonte 2 - POP Revisado e Ampliado 2022,Google Drive/POPs+MBP_Drogarias/POP.001 Documentação Normativa,POP.001 Documentação Normativa,,,Pasta/POP,Drogarias,Manual de Boas Praticas,POP,POP-001-DOCUMENTACAO-NORMATIVA,SIM,PLANEJADO,REVISAR,NAO,ADMIN;RT,,P0,REVISAR,SIM,ALTO,DUP-005,REVISAR_ANTES,Acervo aprovado como autoria propria; revisar redundancia/versao/classificacao. Item representa pasta/colecao; importar somente apos confirmar/expandir arquivos reais no momento da carga. Duplicidade/sobreposicao clara; escolher versao mais atual.
4,Lote 4 - Drogarias,0029,Drive complementar/POPs MBP Drogarias,Drive complementar/POPs MBP Drogarias/POP.001 Documentação Normativa,POP.001 Documentação Normativa,,,Pasta/POP,Drogarias,01. Gestao da Qualidade,POP,POP-001-DOCUMENTACAO-NORMATIVA,SIM,PLANEJADO,REVISAR,NAO,ADMIN;RT,,P0,REVISAR,SIM,ALTO,DUP-005,REVISAR_ANTES,Acervo aprovado como autoria propria; revisar redundancia/versao/classificacao. Item representa pasta/colecao; importar somente apos confirmar/expandir arquivos reais no momento da carga. Duplicidade/sobreposicao clara; escolher versao mais atual.
4,Lote 4 - Drogarias,0030,Fonte 2 - POP Revisado e Ampliado 2022,Google Drive/POPs+MBP_Drogarias/POP.002 Elab. Implementação de POPs,POP.002 Elab. Implementação de POPs,,,Pasta/POP,Drogarias,Manual de Boas Praticas,POP.002 Elab,POP-002-ELAB-IMPLEMENTACAO-DE-POPS,SIM,PLANEJADO,REVISAR,NAO,ADMIN;RT,,P0,REVISAR,SIM,ALTO,DUP-006,REVISAR_ANTES,Acervo aprovado como autoria propria; revisar redundancia/versao/classificacao. Item representa pasta/colecao; importar somente apos confirmar/expandir arquivos reais no momento da carga. Duplicidade/sobreposicao clara; escolher versao mais atual.
4,Lote 4 - Drogarias,0031,Drive complementar/POPs MBP Drogarias,Drive complementar/POPs MBP Drogarias/POP.002 Elab. Implementação de POPs,POP.002 Elab. Implementação de POPs,,,Pasta/POP,Drogarias,01. Gestao da Qualidade,POP.002 Elab,POP-002-ELAB-IMPLEMENTACAO-DE-POPS,SIM,PLANEJADO,REVISAR,NAO,ADMIN;RT,,P0,REVISAR,SIM,ALTO,DUP-006,REVISAR_ANTES,Acervo aprovado como autoria propria; revisar redundancia/versao/classificacao. Item representa pasta/colecao; importar somente apos confirmar/expandir arquivos reais no momento da carga. Duplicidade/sobreposicao clara; escolher versao mais atual.
